映画名,ジャンル,評価,年代,監督名,俳優名
007/カジノ・ロワイヤル,アクション,4.7,2006,マーティン・キャンベル,"ダニエル・クレイグ, エヴァ・グリーン"
007/慰めの報酬,アクション,4.5,2008,マーク・フォースター,"ダニエル・クレイグ, オルガ・キュリレンコ"
007/スカイフォール,アクション,4.5,2012,サム・メンデス,"ダニエル・クレイグ, ハビエル・バルデム"
007/スペクター,アクション,4.5,2015,サム・メンデス,"ダニエル・クレイグ, レア・セドゥ"
ダークマン,アクション,4.3,1990,サム・ライミ,"リーアム・ニーソン, ブルース・キャンベル"
ハイドリヒを撃て！,戦争,4.5,2016,ショーン・エリス,"ジェイミー・ドーナン, キリアン・マーフィー"
エイリアンズVSプレデター,アクション,4.4,2007,グレック・ストローズ,"レイコ・エイルスワース, トム・ウッドルフ・Jr"
ボブという名の猫,ドラマ,4.4,2016,ロジャー・スポティスウッド,"ルーク・トレッダウェイ, ジェームズボーエン"
オリエント急行殺人事件,ミステリー,4.5,2017,ケネス・ブラナー,"ジュディ・デンチ, ジョニー・デップ"
ナチスの愛したフェルメール,ロマンス,4.0,2016,ルドルフ・ヴァン・デン・ベルフ,"ユルン・スピッツエンベルハー"
ゴールデンボーイ,ホラー,3.9,1998,ブライアン・シンガー,"ブラッド・レンフロ, イアン・マッケラン"
プラダを着た悪魔,ドラマ,3.8,2006,デヴィッド・フランケル,"メリル・ストリープ, アン・ハサウェイ"
リバー・ランズ・スルー・イット,ドラマ,4.0,1992,ロバート・レッドフォード,"ブラッド・ピット, グレイグ・シェイファー"
シャイン,ドラマ,4.0,1996,スコット・ヒックス,"ジェフリー・ラッシュ, アーミン・ミューラースタール"
ネイビーシールズナチスの金塊を奪還せよ!,アクション,3.8,2017,スティーブン・クォーレ,"シルヴィア・フークス, J・K・シモンズ"
プロヴァンスの贈りもの,ロマンス,4.0,2006,リドリー・スコット,"ラッセル・クロウ, マリオン・コティヤール"
プリズナーズ,スリラー,4.5,2013,ドゥ二・ヴィルヌーヴ,"ジェイク・ギレンホール, ヒュー・ジャックマン, ポール・ダノ"
ユダヤを救った動物園,史実,4.0,2017,ニキ・カーロ,"ジェシカ・チャステイン, ヨハン・ヘルデンベルグ"
ライフ,SF,4.0,2017,ダニエル・エスピノーサ,"ジェイク・ギレンホール, ライアン・レイノルズ, レベッカ・ファーガソン"
タイムトラベラー,SF,4.0,2017,ディエゴ・ハリヴィス,"リンジー・フォンセカ, リンダ・ハミルトン"
ツーリスト,スリラー,4.1,2010,フロリアン・ヘンケル,"アンジェリーナ・ジョリー, ジョニー・デップ"
デトロイト,クライム,4.3,2017,キャスリン・ビグロー,"ウィル・ポールター, ジョン・ボイエガ"
ブリッジ・オブ・ヘル,戦争,3.9,2015,キリル・べルヴィッチ,"イルヤ・コロフコ, ヴァレリヤ・ドミトリーバ"
ビハインド・エネミー・ライン,戦争,3.9,2010,ダヴィド・アブカヤ,"ルーカス・ペドロー二, クリスチャン・ペレット"
グランド・イリュージョン,スリラー,4.5,2013,ルイ・レテリエ,"ジェシー・アイゼンバーグ, マーク・ラファロ"
きみに読む物語,ロマンス,4.0,2004,ニック・カサヴェテス,"ライアン・ゴズリング, レイチェル・マクアダムス"
ミザリー,ホラー,4.8,1990,ロブ・ライナー,"キャシー・ベイツ, ジェームズ・カーン"
スラムドッグ$ミリオネア,ドラマ,4.6,2008,ダニー・ボイル,"デーヴ・パテール, フリーダ・ピントー"
第十七捕虜収容所,戦争,4.6,1953,ビリー・ワイルダー,"ウィリアム・ホールデン, ロバート・ストラウス"
イコライザー,アクション,4.0,2014,アントワーン・フークア,"デンゼル・ワシントン, クロエ・モレッツ"
地獄の黙示録,戦争,4.5,1979,フランシス・フォード・コッポラ,"マーロン・ブランド, マーティン・シーン, ハリソン・フォード"
ヒトラーに屈しなかった王国,戦争,4.0,2016,エリック・ポッぺ,"イェスパー・クリステンセン"
グレイテストショーマン,ミュージカル,4.0,2017,マイケル・グレイシー,"ヒュー・ジャックマン, ザック・エフロン"
5パーセントの奇跡,ドラマ,4.5,2017,マルク・ローテムント,"コスティア・ウルマン, アンナ・マリア・ミューエ"
ザ・ゲーム,ホラー,3.9,2018,ピーター・デュークス,"スキート・ウールリッチ, ヘイレイ・ゴールドスタイン"
デットプール,アクション,4.4,2016,ティム・ミラー,"ライアン・レイノルズ, モリーナ・バッカリン"
悪魔のいけにえ,ホラー,4.5,2017,アンドリュー・ジョーダン,"キンバリー・ウッズ"
ヘイトフルエイト,西部劇,4.9,2015,クエンティン・タランティーノ,"サミュエル・L・ジャクソン, ジェクファー・ジェイソン・リー"
真実の行方,スリラー,4.2,1996,グレゴリー・ホブリット,"エドワード・ノートン, リチャード・ギア"
ザ・スーラ,ファンタジー,3.9,2005,ジョン・ファヴロー,"ジョナ・ボボ, クリステン・スチュワート"
セント・オブ・ウーマン,ドラマ,4.3,1992,マーティン・ブレスト,"アル・パチーノ, クリス・オドネル"
暗黒街のふたり,クライム,4.0,1973,ジョゼ・ジョヴァンニ,"アラン・ドロン, ジャン・ギャバン"
アメリカン・スナイパー,戦争,4.4,2014,クリント・イーストウッド,"ブラッドリー・クーパー, シエナ・ミラー"
イップマン/序章,アクション,4.6,2008,ウィルソン・イップ,"ドニー・イェン, リン・ホン"
イップマン/葉問,アクション,4.6,2010,ウィルソン・イップ,"ドニー・イェン, リン・ホン"
イップマン/継承,アクション,4.6,2015,ウィルソン・イップ,"ドニー・イェン, リン・ホン, マイク・タイソン"
バリー・リンドン,ロマンス,3.9,1975,スタンリー・キューブリック,"マリサ・ベレンソン, ライアン・オニール"
セルフレス,SF,4.0,2015,ターセム・シン,"ライアン・レイノルズ, ベン・キングスレー"
シャッター・アイランド,ミステリー,4.5,2010,マーティン・スコセッシ,"レオナルド・ディカプリオ, マーク・ラファロ, ベン・キングスレー"



